business_name,address,phone,email,website,total_reviews,replied_count,reply_rate,star_rating
Open Sesame Sydney,"Shop CQT.08/180 George St, Sydney NSW 2000",0414 149 505,,http://opensesamesydney.com.au/,801,0,0%,4.7
Restaurant Hubert,"15 Bligh St, Sydney NSW 2000",(02) 8302 2322,pastis@restauranthubert.com,https://www.swillhouse.com/venues/restaurant-hubert,4937,0,0%,4.6
The Gidley,"Basement/161 King St, Sydney NSW 2000",(02) 9169 6898,,https://www.liquidandlarder.com.au/venues/the-gidley/,1361,4,20%,4.6
Clam Bar,"44 Bridge St, Sydney NSW 2000",(02) 9016 1590,reservations@clambarsydney.com,http://www.clambarsydney.com/,494,0,0%,4.4
Besuto - Omakase Sydney,"3 Underwood St, Sydney NSW 2000",,bookings@besutosydney.com,https://besutosydney.com/,377,0,0%,4.8
Ennui,"461 Pitt St, Haymarket NSW 2000",0423 469 949,info@ennuipittstreet.com,https://www.ennuipittstreet.com/,312,0,0%,4.7
Sydney Common,"161 Elizabeth St, Sydney NSW 2000",(02) 9286 6787,sydneycommon@sheraton.com,https://www.sydneycommon.com.au/?scid=feed67b0-9a2f-4de1-8df6-114544116108,198,0,0%,4.4
CATALINA Restaurant,"Lyne Park, New South Head Rd, Rose Bay NSW 2029",(02) 9371 0555,reservations@catalinarosebay.com.au,http://catalinarosebay.com.au/,3848,8,40%,4.7
Cafe Sydney Restaurant,"Level 5 Customs House, 31 Alfred St, Sydney NSW 2000",(02) 9251 8683,reservations@cafesydney.com,http://www.cafesydney.com/,3986,0,0%,4.5
Le Foote,"101 George St, The Rocks NSW 2000",(02) 8302 2324,events@lefoote.com,https://www.swillhouse.com/venues/le-foote,771,0,0%,4.4
Luke's Kitchen at Kimpton Margot Hotel Sydney,"339 Pitt St, Sydney NSW 2000",(02) 8027 8088,lukeskitchen@kimptonmargotsydney.com,https://www.lukeskitchen.com.au/,364,0,0%,4.7
Farmhouse Kings Cross,"Shop 4/40 Bayswater Rd, Rushcutters Bay NSW 2011",0448 413 791,,http://farmhousekingscross.com.au/,558,0,0%,4.7
SOUL Dining,"2/50 Carrington St, Sydney NSW 2000",0431 437 059,,,866,0,0%,4.5
Social Dining,"55-65 Elizabeth St, Sydney NSW 2000",(02) 9239 5888,hello@tilleyandwills.com,https://verandah.com.au/,132,4,20%,4.8
